"Stock","Mean_Return","Volatility"
"AAPL",0.00126478587017743,0.0195020249552265
"MSFT",0.000970405827892645,0.0180069416645709
"AMZN",0.000797921057597985,0.0214781485778116
"GOOGL",0.00117365640502096,0.0196346597101642
"TSLA",0.0024444913480011,0.0401605649504137
"NVDA",0.00273730525107879,0.0322767233617268
"JPM",0.000878688114035941,0.0187878518955279
"KO",0.000478185091014657,0.012477803297359
"WMT",0.000926192519941617,0.0139380988211569
"META",0.00122489870288384,0.0263220709913466
