"date","series_id","value","realtime_start","realtime_end"
2019-05-06,"DTB3",2.39,2026-03-11,2026-03-11
2019-05-07,"DTB3",2.38,2026-03-11,2026-03-11
2019-05-08,"DTB3",2.38,2026-03-11,2026-03-11
2019-05-09,"DTB3",2.38,2026-03-11,2026-03-11
2019-05-10,"DTB3",2.38,2026-03-11,2026-03-11
2019-05-13,"DTB3",2.36,2026-03-11,2026-03-11
2019-05-14,"DTB3",2.36,2026-03-11,2026-03-11
2019-05-15,"DTB3",2.37,2026-03-11,2026-03-11
2019-05-16,"DTB3",2.35,2026-03-11,2026-03-11
2019-05-17,"DTB3",2.34,2026-03-11,2026-03-11
2019-05-20,"DTB3",2.34,2026-03-11,2026-03-11
2019-05-21,"DTB3",2.34,2026-03-11,2026-03-11
2019-05-22,"DTB3",2.33,2026-03-11,2026-03-11
2019-05-23,"DTB3",2.32,2026-03-11,2026-03-11
2019-05-24,"DTB3",2.3,2026-03-11,2026-03-11
2019-05-27,"DTB3",NA,2026-03-11,2026-03-11
2019-05-28,"DTB3",2.32,2026-03-11,2026-03-11
2019-05-29,"DTB3",2.32,2026-03-11,2026-03-11
2019-05-30,"DTB3",2.33,2026-03-11,2026-03-11
2019-05-31,"DTB3",2.3,2026-03-11,2026-03-11
2019-06-03,"DTB3",2.3,2026-03-11,2026-03-11
2019-06-04,"DTB3",2.3,2026-03-11,2026-03-11
2019-06-05,"DTB3",2.3,2026-03-11,2026-03-11
2019-06-06,"DTB3",2.28,2026-03-11,2026-03-11
2019-06-07,"DTB3",2.23,2026-03-11,2026-03-11
2019-06-10,"DTB3",2.24,2026-03-11,2026-03-11
2019-06-11,"DTB3",2.22,2026-03-11,2026-03-11
2019-06-12,"DTB3",2.19,2026-03-11,2026-03-11
2019-06-13,"DTB3",2.14,2026-03-11,2026-03-11
2019-06-14,"DTB3",2.15,2026-03-11,2026-03-11
2019-06-17,"DTB3",2.18,2026-03-11,2026-03-11
2019-06-18,"DTB3",2.17,2026-03-11,2026-03-11
2019-06-19,"DTB3",2.13,2026-03-11,2026-03-11
2019-06-20,"DTB3",2.09,2026-03-11,2026-03-11
2019-06-21,"DTB3",2.07,2026-03-11,2026-03-11
2019-06-24,"DTB3",2.08,2026-03-11,2026-03-11
2019-06-25,"DTB3",2.07,2026-03-11,2026-03-11
2019-06-26,"DTB3",2.1,2026-03-11,2026-03-11
2019-06-27,"DTB3",2.09,2026-03-11,2026-03-11
2019-06-28,"DTB3",2.08,2026-03-11,2026-03-11
2019-07-01,"DTB3",2.16,2026-03-11,2026-03-11
2019-07-02,"DTB3",2.15,2026-03-11,2026-03-11
2019-07-03,"DTB3",2.16,2026-03-11,2026-03-11
2019-07-04,"DTB3",NA,2026-03-11,2026-03-11
2019-07-05,"DTB3",2.18,2026-03-11,2026-03-11
2019-07-08,"DTB3",2.21,2026-03-11,2026-03-11
2019-07-09,"DTB3",2.21,2026-03-11,2026-03-11
2019-07-10,"DTB3",2.15,2026-03-11,2026-03-11
2019-07-11,"DTB3",2.12,2026-03-11,2026-03-11
2019-07-12,"DTB3",2.1,2026-03-11,2026-03-11
2019-07-15,"DTB3",2.11,2026-03-11,2026-03-11
2019-07-16,"DTB3",2.1,2026-03-11,2026-03-11
2019-07-17,"DTB3",2.09,2026-03-11,2026-03-11
2019-07-18,"DTB3",2.01,2026-03-11,2026-03-11
2019-07-19,"DTB3",2.02,2026-03-11,2026-03-11
2019-07-22,"DTB3",2.04,2026-03-11,2026-03-11
2019-07-23,"DTB3",2.02,2026-03-11,2026-03-11
2019-07-24,"DTB3",2.05,2026-03-11,2026-03-11
2019-07-25,"DTB3",2.06,2026-03-11,2026-03-11
2019-07-26,"DTB3",2.08,2026-03-11,2026-03-11
2019-07-29,"DTB3",2.07,2026-03-11,2026-03-11
2019-07-30,"DTB3",2.04,2026-03-11,2026-03-11
2019-07-31,"DTB3",2.04,2026-03-11,2026-03-11
2019-08-01,"DTB3",2.03,2026-03-11,2026-03-11
2019-08-02,"DTB3",2.02,2026-03-11,2026-03-11
2019-08-05,"DTB3",2,2026-03-11,2026-03-11
2019-08-06,"DTB3",2.01,2026-03-11,2026-03-11
2019-08-07,"DTB3",1.98,2026-03-11,2026-03-11
2019-08-08,"DTB3",1.98,2026-03-11,2026-03-11
2019-08-09,"DTB3",1.96,2026-03-11,2026-03-11
2019-08-12,"DTB3",1.96,2026-03-11,2026-03-11
2019-08-13,"DTB3",1.96,2026-03-11,2026-03-11
2019-08-14,"DTB3",1.92,2026-03-11,2026-03-11
2019-08-15,"DTB3",1.87,2026-03-11,2026-03-11
2019-08-16,"DTB3",1.83,2026-03-11,2026-03-11
2019-08-19,"DTB3",1.9,2026-03-11,2026-03-11
2019-08-20,"DTB3",1.9,2026-03-11,2026-03-11
2019-08-21,"DTB3",1.93,2026-03-11,2026-03-11
2019-08-22,"DTB3",1.96,2026-03-11,2026-03-11
2019-08-23,"DTB3",1.93,2026-03-11,2026-03-11
2019-08-26,"DTB3",1.96,2026-03-11,2026-03-11
2019-08-27,"DTB3",1.94,2026-03-11,2026-03-11
2019-08-28,"DTB3",1.95,2026-03-11,2026-03-11
2019-08-29,"DTB3",1.95,2026-03-11,2026-03-11
2019-08-30,"DTB3",1.95,2026-03-11,2026-03-11
2019-09-02,"DTB3",NA,2026-03-11,2026-03-11
2019-09-03,"DTB3",1.94,2026-03-11,2026-03-11
2019-09-04,"DTB3",1.93,2026-03-11,2026-03-11
2019-09-05,"DTB3",1.93,2026-03-11,2026-03-11
2019-09-06,"DTB3",1.92,2026-03-11,2026-03-11
2019-09-09,"DTB3",1.92,2026-03-11,2026-03-11
2019-09-10,"DTB3",1.91,2026-03-11,2026-03-11
2019-09-11,"DTB3",1.92,2026-03-11,2026-03-11
2019-09-12,"DTB3",1.91,2026-03-11,2026-03-11
2019-09-13,"DTB3",1.92,2026-03-11,2026-03-11
2019-09-16,"DTB3",1.95,2026-03-11,2026-03-11
2019-09-17,"DTB3",1.95,2026-03-11,2026-03-11
2019-09-18,"DTB3",1.91,2026-03-11,2026-03-11
2019-09-19,"DTB3",1.89,2026-03-11,2026-03-11
2019-09-20,"DTB3",1.87,2026-03-11,2026-03-11
2019-09-23,"DTB3",1.9,2026-03-11,2026-03-11
2019-09-24,"DTB3",1.88,2026-03-11,2026-03-11
2019-09-25,"DTB3",1.85,2026-03-11,2026-03-11
2019-09-26,"DTB3",1.79,2026-03-11,2026-03-11
2019-09-27,"DTB3",1.76,2026-03-11,2026-03-11
2019-09-30,"DTB3",1.84,2026-03-11,2026-03-11
2019-10-01,"DTB3",1.78,2026-03-11,2026-03-11
2019-10-02,"DTB3",1.75,2026-03-11,2026-03-11
2019-10-03,"DTB3",1.67,2026-03-11,2026-03-11
2019-10-04,"DTB3",1.68,2026-03-11,2026-03-11
2019-10-07,"DTB3",1.71,2026-03-11,2026-03-11
2019-10-08,"DTB3",1.68,2026-03-11,2026-03-11
2019-10-09,"DTB3",1.66,2026-03-11,2026-03-11
2019-10-10,"DTB3",1.65,2026-03-11,2026-03-11
2019-10-11,"DTB3",1.65,2026-03-11,2026-03-11
2019-10-14,"DTB3",NA,2026-03-11,2026-03-11
2019-10-15,"DTB3",1.64,2026-03-11,2026-03-11
2019-10-16,"DTB3",1.63,2026-03-11,2026-03-11
2019-10-17,"DTB3",1.63,2026-03-11,2026-03-11
2019-10-18,"DTB3",1.63,2026-03-11,2026-03-11
2019-10-21,"DTB3",1.64,2026-03-11,2026-03-11
2019-10-22,"DTB3",1.62,2026-03-11,2026-03-11
2019-10-23,"DTB3",1.62,2026-03-11,2026-03-11
2019-10-24,"DTB3",1.64,2026-03-11,2026-03-11
2019-10-25,"DTB3",1.63,2026-03-11,2026-03-11
2019-10-28,"DTB3",1.62,2026-03-11,2026-03-11
2019-10-29,"DTB3",1.6,2026-03-11,2026-03-11
2019-10-30,"DTB3",1.59,2026-03-11,2026-03-11
2019-10-31,"DTB3",1.51,2026-03-11,2026-03-11
2019-11-01,"DTB3",1.49,2026-03-11,2026-03-11
2019-11-04,"DTB3",1.5,2026-03-11,2026-03-11
2019-11-05,"DTB3",1.53,2026-03-11,2026-03-11
2019-11-06,"DTB3",1.53,2026-03-11,2026-03-11
2019-11-07,"DTB3",1.53,2026-03-11,2026-03-11
2019-11-08,"DTB3",1.52,2026-03-11,2026-03-11
2019-11-11,"DTB3",NA,2026-03-11,2026-03-11
2019-11-12,"DTB3",1.56,2026-03-11,2026-03-11
2019-11-13,"DTB3",1.54,2026-03-11,2026-03-11
2019-11-14,"DTB3",1.54,2026-03-11,2026-03-11
2019-11-15,"DTB3",1.54,2026-03-11,2026-03-11
2019-11-18,"DTB3",1.54,2026-03-11,2026-03-11
2019-11-19,"DTB3",1.54,2026-03-11,2026-03-11
2019-11-20,"DTB3",1.54,2026-03-11,2026-03-11
2019-11-21,"DTB3",1.55,2026-03-11,2026-03-11
2019-11-22,"DTB3",1.55,2026-03-11,2026-03-11
2019-11-25,"DTB3",1.58,2026-03-11,2026-03-11
2019-11-26,"DTB3",1.57,2026-03-11,2026-03-11
2019-11-27,"DTB3",1.59,2026-03-11,2026-03-11
2019-11-28,"DTB3",NA,2026-03-11,2026-03-11
2019-11-29,"DTB3",1.56,2026-03-11,2026-03-11
2019-12-02,"DTB3",1.57,2026-03-11,2026-03-11
2019-12-03,"DTB3",1.54,2026-03-11,2026-03-11
2019-12-04,"DTB3",1.52,2026-03-11,2026-03-11
2019-12-05,"DTB3",1.51,2026-03-11,2026-03-11
2019-12-06,"DTB3",1.5,2026-03-11,2026-03-11
2019-12-09,"DTB3",1.51,2026-03-11,2026-03-11
2019-12-10,"DTB3",1.53,2026-03-11,2026-03-11
2019-12-11,"DTB3",1.54,2026-03-11,2026-03-11
2019-12-12,"DTB3",1.53,2026-03-11,2026-03-11
2019-12-13,"DTB3",1.54,2026-03-11,2026-03-11
2019-12-16,"DTB3",1.54,2026-03-11,2026-03-11
2019-12-17,"DTB3",1.53,2026-03-11,2026-03-11
2019-12-18,"DTB3",1.53,2026-03-11,2026-03-11
2019-12-19,"DTB3",1.54,2026-03-11,2026-03-11
2019-12-20,"DTB3",1.55,2026-03-11,2026-03-11
2019-12-23,"DTB3",1.56,2026-03-11,2026-03-11
2019-12-24,"DTB3",1.55,2026-03-11,2026-03-11
2019-12-25,"DTB3",NA,2026-03-11,2026-03-11
2019-12-26,"DTB3",1.55,2026-03-11,2026-03-11
2019-12-27,"DTB3",1.54,2026-03-11,2026-03-11
2019-12-30,"DTB3",1.54,2026-03-11,2026-03-11
2019-12-31,"DTB3",1.52,2026-03-11,2026-03-11
2020-01-01,"DTB3",NA,2026-03-11,2026-03-11
2020-01-02,"DTB3",1.51,2026-03-11,2026-03-11
2020-01-03,"DTB3",1.49,2026-03-11,2026-03-11
2020-01-06,"DTB3",1.53,2026-03-11,2026-03-11
2020-01-07,"DTB3",1.51,2026-03-11,2026-03-11
2020-01-08,"DTB3",1.51,2026-03-11,2026-03-11
2020-01-09,"DTB3",1.51,2026-03-11,2026-03-11
2020-01-10,"DTB3",1.51,2026-03-11,2026-03-11
2020-01-13,"DTB3",1.54,2026-03-11,2026-03-11
2020-01-14,"DTB3",1.54,2026-03-11,2026-03-11
2020-01-15,"DTB3",1.54,2026-03-11,2026-03-11
2020-01-16,"DTB3",1.52,2026-03-11,2026-03-11
2020-01-17,"DTB3",1.53,2026-03-11,2026-03-11
2020-01-20,"DTB3",NA,2026-03-11,2026-03-11
2020-01-21,"DTB3",1.53,2026-03-11,2026-03-11
2020-01-22,"DTB3",1.52,2026-03-11,2026-03-11
2020-01-23,"DTB3",1.52,2026-03-11,2026-03-11
