"date","AAPL","MSFT","AMZN","GOOGL","TSLA","NVDA","JPM","KO","WMT","META"
2019-01-02,37.503719329834,94.3971633911133,76.9564971923828,52.3017272949219,20.6746673583984,3.37716603279114,81.2501983642578,37.8411026000977,28.0244464874268,134.738815307617
2019-01-03,33.76806640625,90.9244613647461,75.0139999389648,50.8531951904297,20.0240001678467,3.17312812805176,80.0955047607422,37.6072654724121,27.8803329467773,130.826141357422
2019-01-04,35.2096214294434,95.1532974243164,78.7695007324219,53.4616355895996,21.1793327331543,3.37642216682434,83.0482635498047,38.3571586608887,28.0544681549072,136.993057250977
2019-01-07,35.1312408447266,95.274658203125,81.4755020141602,53.3550224304199,22.3306674957275,3.55517363548279,83.1059722900391,37.8572425842285,28.3847274780273,137.092361450195
2019-01-08,35.8009567260742,95.965461730957,82.8290023803711,53.8236541748047,22.3566665649414,3.46666502952576,82.9492721557617,38.2845840454102,28.5828914642334,141.541290283203
2019-01-09,36.4089088439941,97.3376998901367,82.9710006713867,53.6391716003418,22.5686664581299,3.53484392166138,82.8090744018555,37.5508232116699,28.4898128509521,143.229476928711
2019-01-10,36.5252838134766,96.712272644043,82.8109970092773,53.4993362426758,22.9979991912842,3.60054230690002,82.8008117675781,37.9539909362793,28.5108394622803,143.19970703125
2019-01-11,36.1666831970215,95.965461730957,82.0279998779297,52.7872161865234,23.1506671905518,3.68979287147522,82.4049377441406,38.1716995239258,28.4748077392578,142.802474975586
2019-01-14,35.6228332519531,95.2653274536133,80.8604965209961,52.14453125,22.2933330535889,3.72970867156982,83.2544403076172,38.0184936523438,28.5078315734863,144.381439208984
2019-01-15,36.351921081543,98.0285186767578,83.7279968261719,53.8801803588867,22.9619998931885,3.71557688713074,83.8647842407227,38.3571586608887,28.8981437683105,147.916763305664
2019-01-16,36.7960205078125,98.3739166259766,84.1890029907227,54.0289459228516,23.0699996948242,3.69004106521606,84.5411224365234,37.8330307006836,28.9281673431396,146.516540527344
2019-01-17,37.0145072937012,99.0647354125977,84.661003112793,54.5055122375488,23.1539993286133,3.76144194602966,84.8875274658203,37.9459342956543,29.0452556610107,147.271255493164
2019-01-18,37.2424926757812,100.549011230469,84.8099975585938,54.9111633300781,20.1506671905518,3.89060878753662,86.2649459838867,38.3894119262695,29.3425025939941,148.999206542969
2019-01-22,36.4065399169922,98.6539993286133,81.6084976196289,53.4894104003906,19.92799949646,3.68830609321594,84.9040298461914,38.4781112670898,29.2704410552979,146.546356201172
2019-01-23,36.553783416748,99.6155090332031,82.0009994506836,53.7760467529297,19.1726665496826,3.70119762420654,84.6895751953125,38.9215927124023,29.636739730835,143.29899597168
2019-01-24,36.2640609741211,99.1394195556641,82.7464981079102,53.7557029724121,19.4340000152588,3.91316914558411,84.7390747070312,38.4539070129395,29.5316524505615,144.818374633789
2019-01-25,37.4657325744629,100.044914245605,83.5285034179688,54.6240272521973,19.8026676177979,3.97043895721436,85.2751846313477,38.1958847045898,29.1053104400635,147.976333618164
2019-01-28,37.1190071105957,98.093864440918,81.8945007324219,53.5504035949707,19.7586669921875,3.42154431343079,85.6793518066406,38.0346221923828,29.1413383483887,146.447006225586
2019-01-29,36.734260559082,96.0961456298828,79.6940002441406,53.0644264221191,19.8306674957275,3.26262736320496,85.9185333251953,38.2200813293457,29.0362586975098,143.18977355957
2019-01-30,39.2444953918457,99.3074493408203,83.5214996337891,54.4494781494141,20.5846672058105,3.40617251396179,86.1164932250977,38.590991973877,28.4627990722656,149.376556396484
2019-01-31,39.5271072387695,97.4870681762695,85.9365005493164,55.8330307006836,20.4680004119873,3.56384968757629,85.3659210205078,38.8087005615234,28.7720394134521,165.533676147461
2019-02-01,39.5461120605469,95.94677734375,81.3115005493164,55.4725189208984,20.8139991760254,3.58814573287964,85.6793518066406,39.2683067321777,28.1805686950684,164.560485839844
2019-02-04,40.6694068908691,98.7100067138672,81.6654968261719,56.6031761169434,20.8593330383301,3.69847059249878,85.9845123291016,39.7117958068848,28.4537887573242,168.075927734375
2019-02-05,41.3652458190918,100.091590881348,82.9404983520508,57.1213874816895,21.4233322143555,3.71756076812744,85.6051177978516,39.7198600769043,28.7029895782471,169.972671508789
2019-02-06,41.3794860839844,98.9807205200195,82.0130004882812,55.684268951416,21.1480007171631,3.79317617416382,85.5638427734375,39.7198600769043,28.7149982452393,169.307357788086
2019-02-07,40.5957870483398,98.2712554931641,80.7184982299805,54.8422355651855,20.5006675720215,3.65483713150024,84.4421234130859,39.8488731384277,29.04225730896,165.225860595703
2019-02-08,40.6434936523438,98.644645690918,79.411003112793,54.6671752929688,20.3866672515869,3.67343020439148,83.6008682250977,39.9133796691895,28.6969833374023,166.16926574707
2019-02-11,40.4097518920898,98.2526016235352,79.5500030517578,54.6542816162109,20.8560009002686,3.63078927993774,83.204963684082,40.0020713806152,28.8831310272217,164.639953613281
2019-02-12,40.7579727172852,99.7835235595703,81.9004974365234,55.9168510437012,20.78733253479,3.74780631065369,84.6235961914062,40.0423927307129,29.114315032959,163.895126342773
2019-02-13,40.5886383056641,99.708854675293,82,55.9689178466797,20.5446662902832,3.79020142555237,85.0277633666992,40.1472206115723,29.405553817749,162.931869506836
2019-02-14,40.7365036010742,99.7928848266602,81.1324996948242,55.997184753418,20.2513332366943,3.83110785484314,84.4751434326172,36.7606201171875,29.5796928405762,162.812698364258
2019-02-15,40.6458702087402,101.025100708008,80.3974990844727,55.5226058959961,20.525333404541,3.90077352523804,87.0567321777344,36.4784088134766,30.0210456848145,161.372772216797
2019-02-19,40.7675094604492,100.97843170166,81.3789978027344,55.8637847900391,20.3759994506836,3.88341856002808,86.7515640258789,36.1478118896484,30.6845760345459,161.164215087891
2019-02-20,41.0298652648926,100.45344543457,81.1050033569336,55.5702133178711,20.1706676483154,3.93077111244202,87.1722106933594,36.3655128479004,29.9880199432373,161.432342529297
2019-02-21,40.798511505127,102.572189331055,80.9720001220703,54.7579231262207,19.4153327941895,3.86185026168823,86.9907608032227,36.9783325195312,29.8409042358398,158.929809570312
2019-02-22,41.2540588378906,104.034706115723,81.5780029296875,55.370361328125,19.6473331451416,3.94663786888123,86.6031112670898,36.5106544494629,29.8889350891113,160.767013549805
2019-02-25,41.5545654296875,104.615966796875,81.6500015258789,55.4085502624512,19.9179992675781,3.93424296379089,87.5103759765625,36.2365112304688,29.7598323822021,163.478042602539
2019-02-26,41.5784225463867,105.337829589844,81.8199996948242,55.6406288146973,19.8573322296143,3.89482283592224,86.8422927856445,36.0349235534668,29.6307315826416,162.991455078125
2019-02-27,41.707218170166,105.159698486328,82.0544967651367,55.684268951416,20.9826679229736,3.85292506217957,86.7350845336914,36.2365112304688,29.4565944671631,161.680618286133
2019-02-28,41.2969856262207,105.028442382812,81.9915008544922,55.8657684326172,21.3253326416016,3.82835507392883,86.0752410888672,36.5590362548828,29.7208003997803,160.330032348633
2019-03-01,41.7310638427734,105.497200012207,83.5865020751953,56.955265045166,19.6526660919189,3.88270592689514,86.1329727172852,36.5912933349609,29.4025440216064,161.154281616211
2019-03-04,41.9409599304199,105.244071960449,84.8085021972656,57.1982574462891,19.0240001678467,3.89089584350586,85.9350204467773,36.8090019226074,29.3785305023193,166.208969116211
2019-03-05,41.864631652832,104.719062805176,84.6214981079102,57.9802856445312,18.4360008239746,3.88444304466248,85.8690490722656,36.7686882019043,29.5256462097168,170.071990966797
2019-03-06,41.6237411499023,104.765953063965,83.4475021362305,57.76953125,18.4160003662109,3.77350902557373,85.5473709106445,36.6477394104004,29.5016288757324,171.31330871582
