"Stock","Weight"
"AAPL",0.0530100439154741
"MSFT",0.0420954333575926
"AMZN",0.256763549187398
"GOOGL",0.0899794112197281
"TSLA",0.273304789587218
"NVDA",0.167238990896645
"JPM",0.026894690891643
"KO",0.00191484879018398
"WMT",0.0110119006873289
"META",0.0777863414667872
